datelabel,beat,CrimeType,Incidents,Latitude,Longitude
12/13/2014,D3,Burglary,3,47.6103476,-122.3286556
12/13/2014,K2,Burglary,3,47.59989128,-122.3268156
12/13/2014,M1,Burglary,3,47.61575667,-122.3508697
12/13/2014,Q2,Burglary,3,47.64285158,-122.3626752
12/13/2014,D3,Autotheft,3,47.6103476,-122.3286556
12/13/2014,K2,Autotheft,3,47.59989128,-122.3268156
12/13/2014,M2,Autotheft,3,47.61461326,-122.3402772
12/13/2014,K3,Robbery,3,47.59039595,-122.3335465
10/13/2014,G1,Autotheft,4,47.60913583,-122.3079013
10/13/2014,C2,Robbery,4,47.61923678,-122.3135591
10/13/2014,G2,Robbery,4,47.59589351,-122.3066351
10/13/2014,L1,Burglary,4,47.7265467,-122.3026333
10/13/2014,L2,Burglary,4,47.70955732,-122.3036621
10/13/2014,S1,Assault,4,47.54393199,-122.2864787
10/13/2014,S1,Burglary,4,47.54393199,-122.2864787
10/13/2014,O1,Robbery,4,47.58228464,-122.3118019
10/13/2014,S1,Robbery,4,47.54393199,-122.2864787
10/13/2014,F2,Assault,4,47.52544871,-122.3658197
10/13/2014,F1,Burglary,4,47.54835231,-122.3548642
10/13/2014,W1,Burglary,4,47.57864939,-122.3849859
10/13/2014,K2,Assault,4,47.59989128,-122.3268156
11/13/2014,G3,Burglary,4,47.60318104,-122.2924006
11/13/2014,E2,Burglary,4,47.61184148,-122.3201628
11/13/2014,G3,Burglary,4,47.60318104,-122.2924006
11/13/2014,E1,Autotheft,4,47.62034695,-122.3244215
11/13/2014,G3,Autotheft,4,47.60318104,-122.2924006
11/13/2014,E1,Robbery,4,47.62034695,-122.3244215
11/13/2014,G1,Robbery,4,47.60913583,-122.3079013
11/13/2014,G2,Robbery,4,47.59589351,-122.3066351
11/13/2014,B1,Burglary,4,47.70977611,-122.3709884
11/13/2014,J2,Burglary,4,47.66133568,-122.3638216
11/13/2014,N2,Burglary,4,47.69846887,-122.3518691
11/13/2014,L1,Robbery,4,47.7265467,-122.3026333
11/13/2014,U2,Robbery,4,47.65855295,-122.3065966
11/13/2014,O2,Assault,4,47.56568576,-122.3309437
11/13/2014,S1,Robbery,4,47.54393199,-122.2864787
11/13/2014,S3,Robbery,4,47.50935216,-122.2595453
11/13/2014,S2,Robbery,4,47.52635109,-122.2740975
11/13/2014,S3,Robbery,4,47.50935216,-122.2595453
11/13/2014,W2,Burglary,4,47.56070534,-122.3869494
11/13/2014,W3,Burglary,4,47.52554975,-122.3845849
11/13/2014,F3,Autotheft,4,47.52610349,-122.3363907
11/13/2014,W1,Autotheft,4,47.57864939,-122.3849859
11/13/2014,W3,Autotheft,4,47.52554975,-122.3845849
11/13/2014,K2,Assault,4,47.59989128,-122.3268156
11/13/2014,K3,Burglary,4,47.59039595,-122.3335465
11/13/2014,D3,Autotheft,4,47.6103476,-122.3286556
11/13/2014,M3,Robbery,4,47.60775547,-122.3408984
12/13/2014,G1,Burglary,4,47.60913583,-122.3079013
12/13/2014,C3,Autotheft,4,47.63007879,-122.2920892
12/13/2014,G3,Autotheft,4,47.60318104,-122.2924006
12/13/2014,L3,Burglary,4,47.68085475,-122.2770349
12/13/2014,U2,Burglary,4,47.65855295,-122.3065966
12/13/2014,N1,Autotheft,4,47.72268665,-122.34046
12/13/2014,O3,Assault,4,47.53458317,-122.303027
12/13/2014,R3,Burglary,4,47.55279355,-122.2682133
12/13/2014,R2,Robbery,4,47.56228391,-122.3042432
12/13/2014,S2,Robbery,4,47.52635109,-122.2740975
12/13/2014,M2,Assault,4,47.61461326,-122.3402772
12/13/2014,M1,Assault,4,47.61575667,-122.3508697
